Metadatum 1,Metadatum 2,Metadatum 3,Metadatum 4,Metadatum 5,Metadatum 6,Metadatum 7,Metadatum 8,Metadatum 9,Metadatum 10,Metadatum 11,Metadatum 12,Metadatum 13,Metadatum 14,Metadatum 15,Metadatum 16,Metadatum 17,Metadatum 18,Metadatum 19,Metadatum 20,Metadatum 21,Metadatum 22,Metadatum 23,Metadatum 24,Metadatum 25,Metadatum 26,Metadatum 27,Metadatum 28,Metadatum 29,Metadatum 30,Metadatum 31
,##ENSG00000143155,,,,,,##ENSG00000116906,##ENSG00000196922,##ENSG00000131781,,##ENSG00000143320,,,##ENSG00000253358,,##ENSG00000198892,,,,,,,,,,,,,,
,##ENSG00000232586,,,,,,##ENSG00000171163,##ENSG00000184489,##ENSG00000188092,,##ENSG00000198400,,,##ENSG00000147649,,##ENSG00000223774,,,,,,,,,,,,,,
,##ENSG00000135821,,,,,,##ENSG00000010072,##ENSG00000179832,##ENSG00000180867,,##ENSG00000163382,,,##ENSG00000254224,,##ENSG00000174307,,,,,,,,,,,,,,
,##ENSG00000143158,,,,,,##ENSG00000173409,##ENSG00000167632,##ENSG00000227242,,##ENSG00000160818,,,##ENSG00000104320,,##ENSG00000224818,,,,,,,,,,,,,,
,##ENSG00000260360,,,,,,##ENSG00000135766,##ENSG00000235173,##ENSG00000162836,,##ENSG00000027869,,,##ENSG00000164823,,##ENSG00000223396,,,,,,,,,,,,,,
,##ENSG00000116194,,,,,,##ENSG00000235674,##ENSG00000227473,##ENSG00000116128,,##ENSG00000143321,,,##ENSG00000104324,,##ENSG00000242150,,,,,,,,,,,,,,
,##ENSG00000143164,,,,,,##ENSG00000143633,##ENSG00000254690,##ENSG00000131778,,##ENSG00000143319,,,##ENSG00000104312,,##ENSG00000159176,,,,,,,,,,,,,,
,##ENSG00000135837,,,,,,##ENSG00000175137,##ENSG00000185000,##ENSG00000254539,,##ENSG00000223356,,,##ENSG00000180543,,,,,,,,,,,,,,,,
,##ENSG00000121454,,,,,,##ENSG00000077522,##ENSG00000182325,##ENSG00000177144,,##ENSG00000143314,,,##ENSG00000251136,,,,,,,,,,,,,,,,
,##ENSG00000231684,,,,,,##ENSG00000171161,##ENSG00000185803,##ENSG00000236334,,##ENSG00000143303,,,,,,,,,,,,,,,,,,,
,##ENSG00000135823,,,,,,##ENSG00000143669,##ENSG00000185122,##ENSG00000215861,,##ENSG00000237842,,,,,,,,,,,,,,,,,,,
,##ENSG00000153029,,,,,,##ENSG00000135750,##ENSG00000255224,##ENSG00000178104,,##ENSG00000132694,,,,,,,,,,,,,,,,,,,
,##ENSG00000143207,,,,,,##ENSG00000116962,##ENSG00000178896,##ENSG00000272755,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000235750,,,,,,##ENSG00000143643,##ENSG00000104529,##ENSG00000233396,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000116260,,,,,,##ENSG00000162946,##ENSG00000104524,##ENSG00000232527,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000143162,,,,,,##ENSG00000135749,##ENSG00000182307,##ENSG00000186364,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000120333,,,,,,##ENSG00000233461,##ENSG00000104522,##ENSG00000244619,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000135835,,,,,,##ENSG00000116918,##ENSG00000183309,##ENSG00000117262,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000116191,,,,,,##ENSG00000212916,##ENSG00000255343,##ENSG00000117281,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000116161,,,,,,##ENSG00000119280,##ENSG00000147813,##ENSG00000227212,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000198771,,,,,,##ENSG00000135778,##ENSG00000255050,##ENSG00000121851,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000224837,,,,,,##ENSG00000231940,##ENSG00000185189,##ENSG00000234222,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000254154,,,,,,##ENSG00000154309,,##ENSG00000174827,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000143337,,,,,,##ENSG00000163041,,##ENSG00000186141,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000169905,,,,,,##ENSG00000225518,,##ENSG00000223612,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000233328,,,,,,##ENSG00000224407,,##ENSG00000196369,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000230124,,,,,,##ENSG00000116991,,##ENSG00000211451,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000116199,,,,,,##ENSG00000182827,,##ENSG00000131779,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000034971,,,,,,##ENSG00000183814,,##ENSG00000131788,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000186283,,,,,,##ENSG00000234478,,##ENSG00000143127,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000076258,,,,,,##ENSG00000135775,,##ENSG00000213240,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000057252,,,,,,##ENSG00000154370,,##ENSG00000242352,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000143322,,,,,,##ENSG00000143742,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000117533,,,,,,##ENSG00000228106,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000117523,,,,,,##ENSG00000143799,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000135870,,,,,,##ENSG00000143641,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000010165,,,,,,##ENSG00000270094,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000143153,,,,,,##ENSG00000242861,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000000460,,,,,,##ENSG00000143819,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000188404,,,,,,##ENSG00000135744,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000185278,,,,,,##ENSG00000162819,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000152061,,,,,,##ENSG00000143786,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000171806,,,,,,##ENSG00000186063,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000075945,,,,,,##ENSG00000143761,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000117592,,,,,,##ENSG00000203685,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000203739,,,,,,##ENSG00000143772,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000117593,,,,,,##ENSG00000143740,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000076321,,,,,,##ENSG00000143811,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000234741,,,,,,##ENSG00000198835,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000117586,,,,,,##ENSG00000143774,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000120334,,,,,,##ENSG00000143751,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000000457,,,,,,##ENSG00000196187,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000117475,,,,,,##ENSG00000203684,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000117477,,,,,,##ENSG00000181450,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000213062,,,,,,##ENSG00000154358,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000117479,,,,,,##ENSG00000269934,,,,,,,,,,,,,,,,,,,,,,,
,##ENSG00000143156,,,,,,##ENSG00000162910,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000181873,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000168159,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000081692,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000143776,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000181218,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000233706,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000163050,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000240524,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000143793,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000143801,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000168118,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000234975,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000143507,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000237481,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000154429,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000143632,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000226920,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000069248,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000143815,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000116574,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000229367,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000135776,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000135801,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000135763,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000272750,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000154305,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000225265,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000143498,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,##ENSG00000234419,,,,,,,,,,,,,,,,,,,,,,,
